"carat"	"cut"	"color"	"clarity"	"depth"	"table"	"price"	"x"	"y"	"z"
0.32	"Premium"	"E"	"SI1"	60.2	60	720	4.44	4.39	2.66
0.69	"Premium"	"H"	"SI1"	62.8	58	1822	5.65	5.62	3.54
0.44	"Premium"	"I"	"VVS1"	62.5	60	990	4.87	4.82	3.03
0.7	"Premium"	"E"	"VS2"	61	59	3199	5.74	5.7	3.49
1.55	"Premium"	"J"	"VS2"	60.7	59	7911	7.47	7.5	4.54
1.01	"Very Good"	"G"	"VS2"	61.6	58	5919	6.4	6.45	3.96
1.62	"Ideal"	"F"	"SI1"	62.7	56	12828	7.5	7.44	4.68
0.71	"Ideal"	"E"	"VS2"	62.7	56	2891	5.71	5.75	3.59
0.3	"Ideal"	"G"	"IF"	60.7	57	863	4.34	4.39	2.65
0.52	"Ideal"	"G"	"SI1"	62.2	54	1352	5.18	5.2	3.23
1.58	"Premium"	"H"	"VS2"	60.5	58	8936	7.57	7.54	4.57
0.71	"Ideal"	"E"	"SI2"	59.5	57	2511	5.87	5.82	3.48
0.71	"Very Good"	"G"	"SI1"	63.4	56	2364	5.64	5.68	3.59
0.34	"Ideal"	"H"	"VS2"	62.5	54	689	4.54	4.49	2.82
1.31	"Ideal"	"H"	"VS1"	61.5	56	8429	7	7.06	4.32
2.01	"Premium"	"H"	"SI2"	62.3	58	15917	8.11	8.06	5.04
0.41	"Very Good"	"G"	"VS2"	62.9	59	827	4.7	4.75	2.97
1.01	"Very Good"	"D"	"SI2"	61.9	58	4727	6.43	6.49	4
1.06	"Ideal"	"G"	"VVS2"	61.7	56	8358	6.59	6.56	4.06
0.29	"Very Good"	"H"	"VVS1"	62	55	478	4.24	4.27	2.64
1.21	"Premium"	"H"	"VS2"	58.8	59	6708	7.01	6.98	4.11
1.24	"Ideal"	"H"	"SI1"	61.3	57	6254	6.95	6.89	4.24
0.3	"Premium"	"G"	"VVS2"	61.9	59	684	4.25	4.28	2.64
0.52	"Very Good"	"E"	"VS2"	62.2	56	1665	5.16	5.17	3.21
1.51	"Fair"	"I"	"VS2"	64.6	58	8287	7.19	7.15	4.63
0.72	"Very Good"	"G"	"VVS2"	62.2	57	2933	5.67	5.72	3.54
1.55	"Very Good"	"H"	"SI1"	63.2	57	7066	7.35	7.31	4.64
1.51	"Good"	"E"	"SI1"	65.5	56	9539	7.12	7.16	4.68
0.9	"Very Good"	"D"	"SI2"	63	58	3534	6.12	6.16	3.87
0.32	"Ideal"	"F"	"VS1"	61.6	57	716	4.39	4.42	2.71
0.34	"Ideal"	"G"	"VS2"	60.8	56	616	4.53	4.55	2.76
0.52	"Ideal"	"G"	"VS2"	62	55	1577	5.19	5.13	3.2
1.01	"Good"	"F"	"SI1"	63.5	59	4759	6.3	6.39	4.03
0.5	"Premium"	"E"	"VS2"	61.8	59	1629	5.12	5.08	3.15
0.56	"Ideal"	"D"	"VVS1"	61.8	56	3270	5.28	5.31	3.27
0.75	"Ideal"	"E"	"SI1"	61.1	57	2993	5.83	5.86	3.57
0.27	"Good"	"D"	"VVS2"	64.3	55	693	4.14	4.09	2.65
0.43	"Premium"	"D"	"SI1"	61	57	993	4.88	4.85	2.97
1.01	"Very Good"	"E"	"SI1"	61	56	4399	6.47	6.54	3.97
1.23	"Very Good"	"G"	"VVS2"	62.2	57	9999	6.8	6.87	4.25
1	"Good"	"F"	"SI2"	63.8	58	4155	6.33	6.28	4.02
0.3	"Ideal"	"E"	"VVS2"	62.1	57	766	4.27	4.3	2.66
0.42	"Very Good"	"G"	"SI1"	62.9	54	737	4.79	4.81	3.02
0.58	"Ideal"	"E"	"VS1"	60.1	57	1965	5.41	5.47	3.27
0.4	"Premium"	"I"	"VVS1"	62.7	59	842	4.67	4.71	2.94
0.53	"Premium"	"I"	"VVS1"	63	56	1607	5.19	5.13	3.25
1.21	"Ideal"	"I"	"SI2"	60.7	56	4880	6.86	6.91	4.18
0.73	"Ideal"	"J"	"VS1"	62	53	2121	5.78	5.82	3.6
0.31	"Premium"	"H"	"VS2"	62.5	60	628	4.36	4.31	2.71
0.24	"Very Good"	"E"	"VS1"	62.5	55	412	3.96	3.98	2.48
1.01	"Very Good"	"F"	"VS2"	63.6	59	6714	6.3	6.34	4.02
1.13	"Premium"	"H"	"VS2"	61.7	56	5728	6.73	6.65	4.13
0.58	"Premium"	"G"	"VVS2"	61.4	61	1975	5.43	5.38	3.32
0.79	"Ideal"	"G"	"SI2"	60.8	57	2453	5.99	5.96	3.63
0.7	"Premium"	"H"	"SI2"	60.5	61	1808	5.75	5.72	3.47
0.4	"Premium"	"E"	"VS1"	62.5	58	1125	4.72	4.69	2.94
0.74	"Ideal"	"G"	"VS2"	61.2	56	3434	5.82	5.85	3.57
0.34	"Premium"	"G"	"VVS2"	61.6	58	995	4.49	4.44	2.75
0.5	"Ideal"	"F"	"VS2"	62.9	55	1736	5.12	5.08	3.21
1.24	"Ideal"	"E"	"VS2"	62.7	58	8887	6.79	6.86	4.28
0.57	"Good"	"G"	"VS2"	58.2	66	1816	5.34	5.45	3.14
0.93	"Premium"	"J"	"VS2"	62.3	60	3250	6.3	6.23	3.9
0.5	"Fair"	"E"	"SI1"	65	58	1176	4.98	4.9	3.21
0.27	"Ideal"	"I"	"VS1"	62.5	54	432	4.16	4.19	2.61
1.01	"Ideal"	"F"	"SI1"	62.3	58	5646	6.35	6.42	3.98
0.33	"Premium"	"G"	"SI2"	62.6	58	557	4.42	4.4	2.76
0.36	"Ideal"	"D"	"VS2"	61	56	852	4.59	4.63	2.81
0.56	"Premium"	"D"	"VS2"	61.5	58	1910	5.28	5.33	3.26
0.32	"Ideal"	"D"	"VS2"	62.6	57	758	4.37	4.41	2.75
0.53	"Ideal"	"F"	"VVS1"	61.4	57	2860	5.23	5.2	3.2
1.07	"Ideal"	"G"	"VS1"	61.8	57	6917	6.58	6.52	4.05
2.22	"Good"	"I"	"SI2"	63.2	57	16398	8.23	8.28	5.22
0.3	"Ideal"	"H"	"VS2"	62.3	57	491	4.27	4.3	2.67
0.38	"Very Good"	"G"	"VS2"	59.9	58	766	4.72	4.77	2.84
1.01	"Ideal"	"D"	"SI2"	63	54	4805	6.43	6.39	4.04
1.01	"Premium"	"D"	"VS1"	62.4	58	8265	6.38	6.41	3.99
0.5	"Very Good"	"D"	"VS2"	61.1	58	1565	5.09	5.18	3.14
1.04	"Good"	"G"	"VS1"	58.9	64	6151	6.6	6.64	3.9
0.3	"Very Good"	"F"	"VVS1"	62.2	56	832	4.28	4.3	2.67
1	"Very Good"	"E"	"IF"	62.5	55	11214	6.28	6.39	3.96
0.41	"Very Good"	"D"	"SI1"	60.3	63	920	4.8	4.78	2.89
1.62	"Premium"	"F"	"VS2"	61.1	60	14826	7.56	7.57	4.62
0.41	"Premium"	"G"	"VS1"	61.9	60	961	4.76	4.7	2.93
1.36	"Premium"	"F"	"VS2"	59.3	60	10929	7.23	7.2	4.28
0.9	"Ideal"	"H"	"VS2"	61.9	58	4403	6.2	6.24	3.85
0.36	"Ideal"	"G"	"VS1"	61.1	55	746	4.63	4.66	2.84
1.02	"Premium"	"H"	"SI1"	61.1	58	5084	6.51	6.46	3.96
1.02	"Premium"	"H"	"SI1"	62.2	52	3581	6.47	6.43	4.01
0.32	"Premium"	"E"	"SI1"	61.9	59	561	4.36	4.39	2.71
1.01	"Good"	"I"	"SI2"	64.1	58	3411	6.31	6.26	4.03
0.28	"Very Good"	"F"	"VVS2"	60.2	58	628	4.26	4.28	2.57
0.3	"Ideal"	"F"	"SI1"	61.9	54	475	4.33	4.36	2.69
2.03	"Premium"	"G"	"SI1"	61.9	59	15322	8.14	8.09	5.02
1.07	"Premium"	"D"	"SI2"	62.6	61	4949	6.49	6.42	4.04
1.5	"Ideal"	"F"	"VS2"	62.6	57	14759	7.27	7.34	4.57
0.32	"Good"	"F"	"SI1"	63.2	55	533	4.37	4.4	2.77
0.31	"Ideal"	"D"	"SI1"	62.6	57	571	4.3	4.33	2.7
0.35	"Ideal"	"G"	"VVS2"	61	57	1024	4.58	4.54	2.78
0.3	"Premium"	"H"	"VS1"	63	59	675	4.27	4.21	2.67
0.32	"Premium"	"G"	"SI2"	61.6	59	421	4.35	4.38	2.69
0.41	"Good"	"F"	"SI1"	63.7	58	705	4.71	4.74	3.01
0.51	"Ideal"	"F"	"VS2"	61.9	55	1591	5.11	5.15	3.18
1.26	"Very Good"	"G"	"VVS1"	60.2	59	10922	6.98	7.07	4.23
0.32	"Ideal"	"D"	"VVS1"	62.6	57	917	4.34	4.41	2.74
0.59	"Very Good"	"E"	"VVS2"	61.7	59	2494	5.37	5.36	3.31
0.3	"Very Good"	"I"	"VS1"	63.3	59	608	4.23	4.2	2.67
0.7	"Ideal"	"D"	"SI2"	60.3	56	2423	5.77	5.73	3.47
0.3	"Very Good"	"E"	"VVS2"	62.9	55	840	4.25	4.27	2.68
0.9	"Good"	"G"	"IF"	61.8	61	5855	6.12	6.17	3.8
0.35	"Very Good"	"E"	"VS1"	62.3	60	829	4.5	4.52	2.81
0.41	"Premium"	"G"	"VS2"	59.7	59	1061	4.84	4.81	2.88
1.01	"Very Good"	"F"	"VS2"	63.1	56	6267	6.41	6.37	4.03
1.01	"Premium"	"D"	"SI1"	61.2	60	5780	6.47	6.41	3.94
0.32	"Ideal"	"J"	"VS2"	62.1	54	504	4.44	4.38	2.74
0.85	"Ideal"	"G"	"SI2"	62	57	2913	6.1	6.02	3.76
1.31	"Premium"	"H"	"VS2"	62.1	58	6368	7.01	6.86	4.31
3.65	"Fair"	"H"	"I1"	67.1	53	11668	9.53	9.48	6.38
0.26	"Very Good"	"G"	"VVS1"	61.8	57	545	4.06	4.1	2.52
0.4	"Ideal"	"H"	"VS1"	61.8	56	807	4.74	4.78	2.94
0.9	"Very Good"	"G"	"VS2"	62.5	57	4600	6.12	6.14	3.83
0.33	"Ideal"	"F"	"VS2"	62.1	55	666	4.45	4.47	2.77
0.32	"Ideal"	"H"	"VVS1"	60.4	57	936	4.46	4.42	2.68
1.2	"Ideal"	"D"	"VS2"	61.4	55	9424	6.78	6.87	4.19
1	"Good"	"D"	"I1"	57.8	62	2657	6.51	6.47	3.75
1.01	"Premium"	"D"	"VS1"	62.4	58	8416	6.41	6.38	3.99
0.71	"Premium"	"H"	"VS2"	61.3	58	2169	5.76	5.82	3.55
1.12	"Premium"	"H"	"SI1"	62.2	60	5363	6.65	6.59	4.12
0.5	"Very Good"	"E"	"VS1"	62.7	56	1675	5.09	5.12	3.2
1	"Ideal"	"F"	"VS1"	61.7	55	7056	6.42	6.39	3.95
0.56	"Ideal"	"F"	"VVS2"	62.3	54	2281	5.29	5.34	3.31
1.14	"Premium"	"F"	"SI1"	62.5	59	5228	6.67	6.65	4.16
0.32	"Ideal"	"E"	"VS2"	62.1	55	639	4.39	4.43	2.74
0.57	"Good"	"J"	"VS2"	63.3	56	1100	5.24	5.28	3.33
0.3	"Good"	"F"	"SI1"	63.5	59	500	4.19	4.22	2.67
0.3	"Ideal"	"I"	"SI1"	60.4	59	439	4.33	4.35	2.62
1.01	"Very Good"	"E"	"VS2"	63	60	6221	6.32	6.35	3.99
0.7	"Good"	"D"	"SI2"	58.2	63	2583	5.78	5.83	3.38
0.59	"Very Good"	"H"	"SI1"	61.8	56	1239	5.39	5.43	3.35
1.5	"Ideal"	"H"	"VS2"	62.3	56	10920	7.34	7.29	4.56
1.5	"Ideal"	"I"	"I1"	61.8	57	5510	7.39	7.31	4.54
1	"Premium"	"E"	"SI2"	62.8	59	4200	6.34	6.3	3.97
1.51	"Good"	"I"	"SI2"	63.6	60	7957	7.27	7.23	4.61
1.01	"Premium"	"H"	"VS2"	60.7	61	4921	6.47	6.39	3.9
0.5	"Ideal"	"D"	"VS2"	62.4	55	1653	5.09	5.1	3.18
0.41	"Very Good"	"G"	"VVS2"	62.9	56	1007	4.7	4.74	2.97
0.37	"Ideal"	"D"	"VVS1"	61.3	56	1764	4.6	4.63	2.83
0.36	"Ideal"	"G"	"VS1"	62.3	57	678	4.55	4.57	2.84
0.9	"Premium"	"H"	"VS1"	62.7	60	4234	6.12	6.07	3.82
1.02	"Ideal"	"D"	"VS1"	62.7	55	7118	6.49	6.4	4.04
0.71	"Good"	"F"	"SI1"	64.3	58	2258	5.61	5.55	3.59
0.38	"Premium"	"I"	"VS2"	61.5	58	812	4.62	4.61	2.84
0.23	"Very Good"	"D"	"VS2"	60.5	61	357	3.96	3.97	2.4
0.9	"Good"	"D"	"SI2"	62.3	58	3806	6.05	6.27	3.84
1.51	"Premium"	"F"	"SI1"	62.8	59	11666	7.31	7.28	4.58
1.4	"Ideal"	"H"	"SI2"	61.2	56	7213	7.23	7.18	4.41
0.7	"Fair"	"H"	"VS2"	67.8	56	2351	5.42	5.38	3.66
1.51	"Ideal"	"H"	"VS2"	62.5	55	10763	7.29	7.34	4.57
0.3	"Good"	"H"	"VS1"	63.9	55	675	4.28	4.26	2.73
0.78	"Very Good"	"H"	"SI2"	62.6	59	2405	5.81	5.85	3.65
0.56	"Ideal"	"E"	"SI1"	60.9	56	1580	5.32	5.35	3.25
0.42	"Ideal"	"D"	"VVS2"	62.1	55	1326	4.78	4.81	2.98
0.37	"Premium"	"F"	"SI1"	62.5	58	791	4.57	4.52	2.84
1.32	"Very Good"	"I"	"SI2"	61.2	58	6300	7.12	7.06	4.34
0.55	"Ideal"	"E"	"VS2"	61.4	56	1792	5.32	5.26	3.25
0.93	"Very Good"	"J"	"VS2"	63.3	61	3208	6.19	6.14	3.9
1.21	"Premium"	"H"	"SI2"	58.2	59	5082	7.05	7.03	4.1
0.41	"Good"	"E"	"VVS2"	63.1	58	1060	4.72	4.75	2.99
0.7	"Very Good"	"D"	"SI1"	61.1	57	2677	5.74	5.66	3.48
0.5	"Ideal"	"E"	"VS2"	62.1	55	1554	5.11	5.13	3.18
1.01	"Premium"	"H"	"VS2"	62.3	58	4412	6.45	6.36	3.99
0.4	"Ideal"	"F"	"VS1"	61.8	54	917	4.75	4.77	2.94
0.65	"Ideal"	"H"	"VVS1"	62.4	54	2177	5.55	5.57	3.47
0.4	"Premium"	"H"	"VS1"	62.7	59	731	4.63	4.71	2.93
0.91	"Very Good"	"D"	"SI1"	62.8	57	4303	6.12	6.17	3.86
0.36	"Ideal"	"D"	"VS2"	60	56	933	4.68	4.66	2.8
0.3	"Ideal"	"G"	"IF"	62.3	52.8	830	4.29	4.33	2.69
0.3	"Very Good"	"D"	"SI1"	62.6	59	476	4.24	4.26	2.66
0.51	"Premium"	"E"	"SI2"	61.8	58	1265	5.11	5.08	3.15
0.91	"Premium"	"G"	"VS1"	62.5	61	4570	6.17	6.05	3.82
0.34	"Ideal"	"E"	"VS1"	62	57	881	4.49	4.44	2.77
0.7	"Good"	"F"	"SI1"	58.7	60	2409	5.75	5.81	3.39
1.02	"Very Good"	"H"	"SI1"	61.6	58	4727	6.49	6.54	4.01
0.8	"Ideal"	"F"	"SI2"	61.4	57	2761	5.96	6	3.67
0.42	"Ideal"	"H"	"VS1"	61	57	1299	4.85	4.89	2.97
1.2	"Ideal"	"G"	"SI1"	61.2	56	6502	6.92	6.84	4.21
0.3	"Premium"	"F"	"VS1"	61.9	59	844	4.3	4.26	2.65
1.01	"Fair"	"F"	"SI1"	65	61	5131	6.29	6.23	4.07
0.93	"Very Good"	"G"	"SI1"	62.3	58	4144	6.2	6.29	3.9
0.71	"Ideal"	"F"	"SI1"	61.6	56	2416	5.71	5.75	3.53
0.75	"Very Good"	"E"	"VS2"	60.4	56	3817	5.9	5.96	3.58
0.38	"Ideal"	"E"	"VVS2"	61.6	55	1176	4.66	4.63	2.86
0.41	"Good"	"G"	"SI1"	63.4	57	671	4.7	4.73	2.99
0.31	"Very Good"	"G"	"VS1"	62.9	57	625	4.3	4.32	2.71
1.12	"Very Good"	"F"	"VS2"	62	58	6925	6.63	6.69	4.13
0.38	"Very Good"	"G"	"VS2"	60.4	57	766	4.67	4.7	2.83
0.62	"Premium"	"G"	"VS2"	61.1	59	1841	5.56	5.5	3.38
0.31	"Ideal"	"G"	"VS2"	62	57	698	4.37	4.34	2.7
0.32	"Ideal"	"E"	"VS2"	62.2	56	702	4.37	4.41	2.73
0.74	"Ideal"	"E"	"SI2"	61.7	57	2501	5.78	5.82	3.58
0.46	"Ideal"	"I"	"VVS1"	61.7	57	974	4.96	4.99	3.07
0.52	"Ideal"	"H"	"SI1"	61.7	55	1245	5.17	5.21	3.2
0.32	"Good"	"F"	"VS2"	63.3	57	602	4.34	4.38	2.76
1.28	"Ideal"	"I"	"VS2"	61.4	57	6308	7.04	6.97	4.3
0.32	"Premium"	"G"	"VS2"	62.3	60	720	4.4	4.37	2.73
0.3	"Ideal"	"I"	"VS1"	61	56	473	4.35	4.37	2.66
0.96	"Premium"	"J"	"SI1"	60.3	59	3269	6.4	6.36	3.85
0.9	"Very Good"	"D"	"SI2"	61	59	3806	6.14	6.18	3.76
0.71	"Ideal"	"E"	"VS2"	61.6	56	3553	5.73	5.77	3.54
0.43	"Ideal"	"H"	"SI1"	62.5	57	716	4.79	4.84	3.01
0.5	"Ideal"	"D"	"VS1"	63	57	1571	5.06	5	3.17
1.09	"Ideal"	"H"	"SI1"	61.4	56	6970	6.61	6.64	4.07
0.38	"Ideal"	"G"	"SI2"	62	55	532	4.66	4.69	2.9
1.01	"Very Good"	"E"	"SI1"	62.1	56	5461	6.43	6.48	4.01
0.52	"Ideal"	"D"	"VS2"	62.3	56	1822	5.11	5.16	3.2
0.54	"Ideal"	"E"	"VS2"	61.8	55	1847	5.26	5.24	3.24
1	"Good"	"D"	"SI1"	60.4	64	5096	6.39	6.3	3.83
0.43	"Premium"	"D"	"SI2"	62.6	58	716	4.79	4.82	3.01
0.4	"Good"	"J"	"VS1"	63.2	57	631	4.7	4.73	2.98
0.33	"Ideal"	"D"	"VS2"	60.9	55	781	4.47	4.5	2.73
0.55	"Ideal"	"D"	"SI1"	60.6	56	1819	5.32	5.27	3.21
1.29	"Ideal"	"G"	"SI1"	60.9	59	7463	6.99	7.04	4.27
0.5	"Very Good"	"D"	"SI2"	61.9	56	1167	5.09	5.14	3.16
1.07	"Very Good"	"G"	"VS1"	60.9	55	6998	6.6	6.64	4.03
0.78	"Fair"	"H"	"VS2"	54.7	67	2691	6.25	6.15	3.4
0.3	"Ideal"	"E"	"VS2"	61.5	56	844	4.33	4.29	2.65
0.9	"Very Good"	"E"	"VS2"	62.2	59	4580	6.13	6.18	3.83
0.76	"Premium"	"F"	"SI2"	62.7	55	2491	5.83	5.74	3.63
0.3	"Ideal"	"E"	"VS2"	62.3	56	658	4.3	4.34	2.69
0.35	"Premium"	"H"	"VS2"	61.8	56	709	4.58	4.54	2.82
0.55	"Very Good"	"E"	"SI1"	64.2	55	1417	5.18	5.2	3.33
1.01	"Ideal"	"I"	"SI1"	62.5	56	5020	6.4	6.36	3.99
1.22	"Premium"	"G"	"VS2"	61.2	58	7870	6.91	6.81	4.2
0.39	"Ideal"	"E"	"VS2"	60.9	55	839	4.73	4.76	2.89
1.54	"Premium"	"E"	"SI1"	62.7	58	10314	7.37	7.3	4.6
0.34	"Good"	"D"	"SI1"	63.1	57	626	4.44	4.46	2.81
1.52	"Premium"	"I"	"I1"	61.2	58	3541	7.43	7.35	4.52
0.71	"Very Good"	"G"	"SI2"	62.4	54	2171	5.72	5.76	3.58
0.36	"Very Good"	"G"	"IF"	60.4	62	1002	4.6	4.64	2.79
0.3	"Premium"	"E"	"IF"	61.9	58	1097	4.3	4.26	2.65
1.23	"Very Good"	"E"	"VVS1"	61.2	59	15878	6.9	6.98	4.25
1.12	"Good"	"F"	"VVS2"	57.9	57	8430	6.86	6.83	3.96
0.7	"Ideal"	"D"	"SI2"	62.6	54	2936	5.69	5.72	3.57
0.71	"Premium"	"F"	"VS2"	59.6	59	2686	5.81	5.77	3.45
0.3	"Ideal"	"H"	"VS1"	62.3	55	526	4.29	4.34	2.69
1.57	"Ideal"	"J"	"VVS2"	61.4	57	9346	7.45	7.5	4.59
0.51	"Very Good"	"G"	"VVS1"	63.2	59	1871	5.04	5.09	3.2
0.38	"Ideal"	"G"	"VVS2"	62	57	879	4.64	4.66	2.89
1.55	"Ideal"	"J"	"VS2"	61.7	57	7416	7.37	7.42	4.56
1.25	"Ideal"	"H"	"SI2"	62.7	56	5670	6.92	6.87	4.32
1.51	"Ideal"	"H"	"SI1"	61.3	56	10012	7.44	7.4	4.55
1.02	"Very Good"	"H"	"VS1"	62.8	59	5598	6.34	6.47	4.02
0.43	"Premium"	"D"	"SI1"	62.4	60	1022	4.82	4.79	3
0.31	"Ideal"	"H"	"VVS1"	61.3	56	671	4.36	4.39	2.68
1.29	"Ideal"	"J"	"VVS1"	61.2	56	6918	7.01	7.05	4.3
2.01	"Ideal"	"F"	"SI2"	62.3	58	15955	8.03	8.01	5
1.03	"Premium"	"G"	"VS1"	62.2	59	6749	6.46	6.41	4
0.72	"Premium"	"F"	"SI2"	59.3	57	2364	5.89	5.85	3.48
1.02	"Ideal"	"E"	"IF"	62.6	57	11605	6.47	6.41	4.03
0.42	"Premium"	"G"	"VS2"	62.6	57	1087	4.8	4.76	2.99
0.7	"Premium"	"G"	"VS2"	62.1	60	2314	5.71	5.65	3.53
0.5	"Ideal"	"E"	"VVS2"	61.8	53.6	2297	5.1	5.13	3.16
0.72	"Premium"	"G"	"VS2"	62.3	59	2405	5.77	5.69	3.57
0.31	"Ideal"	"E"	"VVS1"	62.1	55	853	4.34	4.36	2.7
0.31	"Good"	"H"	"VS1"	59.2	65	651	4.42	4.33	2.59
0.9	"Very Good"	"F"	"VS1"	62.1	58	4898	6.15	6.19	3.83
0.71	"Very Good"	"H"	"VS2"	59.2	63	2428	5.81	5.85	3.45
0.78	"Ideal"	"G"	"SI1"	62.8	56	2583	5.88	5.84	3.68
1.51	"Premium"	"G"	"SI1"	61.3	61	7585	7.41	7.34	4.52
0.4	"Ideal"	"I"	"VVS2"	62	56	1240	4.74	4.77	2.95
0.3	"Ideal"	"G"	"VVS1"	62	58	764	4.28	4.3	2.66
1.22	"Very Good"	"H"	"VS1"	62.4	59	7673	6.91	6.85	4.29
0.71	"Good"	"E"	"VS2"	59.2	61	2772	5.8	5.88	3.46
0.7	"Very Good"	"F"	"SI2"	60.7	58	2195	5.73	5.77	3.49
1.59	"Premium"	"F"	"SI2"	62.2	58	7123	7.49	7.45	4.64
1.02	"Premium"	"I"	"SI2"	62	59	3856	6.45	6.42	3.99
2	"Fair"	"H"	"SI2"	68.7	55	9549	7.9	7.67	5.35
0.52	"Premium"	"F"	"SI1"	61.5	60	1191	5.15	5.16	3.17
1.72	"Premium"	"F"	"I1"	60.1	58	7532	7.77	7.74	4.66
0.42	"Premium"	"E"	"SI2"	60.1	58	653	4.87	4.91	2.94
1.03	"Ideal"	"F"	"VS1"	62.8	54	8237	6.48	6.39	4.05
0.51	"Very Good"	"D"	"VS2"	62.5	58	1668	5.12	5.18	3.22
0.7	"Good"	"F"	"SI1"	63.1	64	2167	5.61	5.58	3.53
0.43	"Ideal"	"H"	"SI1"	61.9	55	783	4.84	4.88	3.01
0.32	"Very Good"	"G"	"VVS2"	64	55	607	4.31	4.35	2.77
0.54	"Ideal"	"F"	"VS1"	62.2	55	1799	5.23	5.25	3.26
0.31	"Very Good"	"G"	"SI2"	63.3	54	523	4.34	4.29	2.73
0.54	"Very Good"	"E"	"SI2"	60.7	56.5	1415	5.24	5.28	3.19
0.42	"Premium"	"E"	"SI1"	61.5	58	926	4.84	4.78	2.96
1.22	"Good"	"H"	"SI2"	63.5	56	6250	6.84	6.77	4.32
0.31	"Very Good"	"E"	"SI1"	62.7	58	544	4.31	4.33	2.71
1.06	"Very Good"	"F"	"IF"	60.6	56	9433	6.62	6.69	4.03
0.38	"Ideal"	"E"	"VVS2"	62.2	53.8	1073	4.62	4.66	2.88
0.72	"Ideal"	"E"	"SI1"	61.3	56	2731	5.77	5.81	3.55
1.36	"Premium"	"J"	"VS2"	58.4	59	6157	7.4	7.27	4.28
0.34	"Ideal"	"I"	"IF"	61.6	54	695	4.5	4.53	2.78
0.53	"Ideal"	"E"	"VS2"	61.8	55	2163	5.21	5.24	3.23
0.73	"Ideal"	"F"	"VVS1"	61.1	56	4171	5.83	5.86	3.57
0.51	"Ideal"	"D"	"VS2"	61.7	55	1882	5.14	5.11	3.16
1.62	"Premium"	"I"	"VS2"	60.1	59	10669	7.63	7.6	4.58
1.51	"Premium"	"J"	"VS2"	62.3	59	7418	7.31	7.35	4.57
0.72	"Premium"	"D"	"VS1"	62.7	56	3601	5.76	5.69	3.59
1.01	"Premium"	"E"	"VS1"	60.8	59	7821	6.42	6.46	3.92
0.72	"Very Good"	"G"	"VS1"	60.1	63	3024	5.86	5.82	3.51
0.32	"Good"	"F"	"VVS1"	63.8	54	977	4.38	4.31	2.77
0.31	"Very Good"	"G"	"VVS1"	61.9	55	642	4.36	4.4	2.71
0.55	"Ideal"	"H"	"SI1"	60.8	56	1584	5.3	5.33	3.23
0.72	"Premium"	"F"	"SI2"	60.5	59	2298	5.83	5.8	3.52
0.4	"Ideal"	"E"	"VS1"	61.2	57	1125	4.77	4.74	2.91
0.91	"Ideal"	"D"	"SI2"	62.2	57	2803	6.21	6.15	3.85
0.24	"Premium"	"E"	"VVS1"	60.6	59	668	4.02	4	2.43
0.9	"Premium"	"I"	"VS2"	63	59	3292	6.1	6.06	3.83
0.32	"Ideal"	"H"	"VVS2"	61.2	56	828	4.43	4.4	2.7
0.78	"Very Good"	"D"	"SI1"	62.4	58	2945	5.86	5.9	3.67
0.54	"Ideal"	"H"	"SI1"	61.1	56	1268	5.25	5.27	3.21
0.31	"Ideal"	"H"	"VS1"	61.1	57	544	4.35	4.39	2.67
0.3	"Ideal"	"H"	"SI1"	62.6	55	421	4.28	4.32	2.69
0.53	"Very Good"	"G"	"VVS1"	61.7	57	1948	5.19	5.22	3.21
1.13	"Ideal"	"H"	"SI1"	62.3	56	5384	6.66	6.69	4.16
0.42	"Ideal"	"D"	"VVS2"	62.5	57	1326	4.77	4.8	2.99
0.72	"Premium"	"F"	"SI1"	62	60	2364	5.74	5.77	3.57
1.71	"Ideal"	"H"	"VS2"	63	57	10534	7.57	7.53	4.76
0.52	"Premium"	"G"	"SI2"	61.5	59	1196	5.19	5.15	3.18
0.42	"Ideal"	"I"	"VVS1"	62.7	55	884	4.77	4.8	3
0.3	"Very Good"	"G"	"VS2"	63.5	55	675	4.25	4.22	2.69
0.51	"Ideal"	"H"	"VVS1"	61.8	55	1776	5.15	5.18	3.19
0.32	"Premium"	"G"	"VS2"	58.4	57	672	4.53	4.51	2.64
0.96	"Good"	"F"	"VS2"	63.7	54	3871	6.24	6.19	3.96
0.41	"Good"	"G"	"SI2"	63.7	55	732	4.75	4.7	3.01
0.5	"Very Good"	"E"	"VVS2"	59.1	61	2106	5.19	5.23	3.08
1	"Very Good"	"F"	"SI1"	61.6	61	5197	6.3	6.37	3.9
1.5	"Premium"	"D"	"SI1"	61.6	59	13445	7.4	7.3	4.53
1.04	"Very Good"	"G"	"IF"	60.7	58	8655	6.52	6.65	4
0.41	"Ideal"	"F"	"VVS1"	61.8	57	1356	4.79	4.75	2.95
0.46	"Ideal"	"G"	"IF"	61.6	54	1558	4.97	5	3.07
0.5	"Good"	"D"	"SI1"	60.5	57	1447	5.1	5.14	3.1
0.3	"Ideal"	"H"	"VVS1"	61.9	55	684	4.32	4.34	2.68
0.42	"Ideal"	"D"	"VS1"	61.4	55	1006	4.8	4.9	2.98
0.31	"Ideal"	"I"	"IF"	61.3	57	652	4.34	4.4	2.68
0.91	"Very Good"	"E"	"VS1"	62.8	60	5057	6.08	6.11	3.83
1.07	"Premium"	"F"	"SI2"	61.8	59	4560	6.53	6.57	4.05
